,start_station_id,start_station_name,start_station_latitude,start_station_longitude
4748,1,18 Dorrance Warehouse,42.387151,-71.075978
26681,3,Colleges of the Fenway,42.340021,-71.100812
97049,4,Tremont St. at Berkeley St.,42.345392,-71.069616
161457,5,Northeastern U / North Parking Lot,42.341814,-71.090179
103358,6,Cambridge St. at Joy St.,42.361174,-71.065142
41419,7,Fan Pier,42.35328743453294,-71.04438900947571
29596,8,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313
125044,9,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639
23029,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279
127666,11,Longwood Ave / Binney St,42.338629,-71.1065
86355,12,Ruggles Station / Columbus Ave.,42.335911,-71.088496
71641,13,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089
121609,14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797
14007,15,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802
5729,16,Back Bay / South End Station,42.34807412317439,-71.07657015323639
71144,17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,42.365064,-71.119233
16124,19,Buswell St. at Park Dr.,42.347241,-71.105301
46521,20,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601
33557,21,Prudential Center / Belvidere,42.345959,-71.082578
57721,22,South Station - 700 Atlantic Ave.,42.352175,-71.055547
113979,23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629
23614,24,Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983
137602,25,Tremont St / W Newton St,42.341332,-71.076847
38822,26,Washington St. at Waltham St.,42.341522,-71.068922
11798,27,Roxbury Crossing Station,42.331184,-71.095171
29050,29,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565
66111,30,Brigham Cir / Huntington Ave,42.334073,-71.105221
107225,31,Seaport Hotel,42.348833,-71.041747
39087,32,Landmark Center - Brookline Ave at Park Dr,42.34519428944095,-71.1016970872879
27974,33,Kenmore Sq / Comm Ave,42.348706,-71.097009
89677,35,Franklin St. / Arch St.,42.355402,-71.058087
171885,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303
12751,37,New Balance - 20 Guest St.,42.357402,-71.147782
61516,38,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914
40342,39,Washington St. at Rutland St.,42.33849279283789,-71.07401937246323
119189,40,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877
22107,41,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831
44164,42,Boylston St. at Arlington St.,42.352033,-71.070627
35161,43,Rowes Wharf - Atlantic Ave,42.357143,-71.050699
86362,44,Faneuil Hall - Union St. at North St.,42.360613,-71.057452
141384,45,Yawkey Way at Boylston St.,42.344706,-71.097515
10295,46,Christian Science Plaza,42.343864,-71.085918
115968,47,Cross St. at Hanover St.,42.362811,-71.056067
42799,48,Post Office Square,42.356755,-71.055407
43720,49,Stuart St. at Charles St.,42.351146,-71.066289
102067,50,Boylston St / Berkeley St,42.350989,-71.073644
134086,51,Washington St. at Lenox St.,42.3348756,-71.0790969
58616,52,Newbury St / Hereford St,42.34872432400896,-71.08583986759186
4543,53,Beacon St / Mass Ave,42.350851,-71.089886
59714,54,Tremont St / West St,42.354979,-71.063348
52540,55,Boylston / Mass Ave,42.347265,-71.088088
120218,56,Dudley Square,42.328654,-71.084198
7418,57,Columbus Ave. at Mass. Ave.,42.340799,-71.081572
95209,58,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278
115777,59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367
37693,60,Charles Circle - Charles St. at Cambridge St.,42.360624982690496,-71.0708999633789
48824,61,Boylston at Fairfield,42.348762,-71.082383
89714,63,Dorchester Ave. at Gillette Park,42.344023,-71.057054
138905,64,Congress / Sleeper,42.3511,-71.0496
65346,65,Boston Convention & Exhibition Center,42.3475,-71.0441
10611,66,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401
97694,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198
41216,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031
73639,69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338
94383,70,Harvard Kennedy School at Bennett St / Eliot St,42.37199165408676,-71.12226963043213
34758,71,Conway Park - Somerville Avenue,42.383405,-71.107593
133384,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105
115631,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886
20008,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
38238,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066
39627,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
72855,77,Somerville City Hall,42.386844,-71.09812
28383,78,Union Square - Somerville,42.379637,-71.095319
13156,79,Beacon St at Washington / Kirkland,42.37842,-71.105668
6903,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
57738,81,Boylston St / Washington St,42.352409,-71.062679
109178,82,Washington Square at Washington St. / Beacon St.,42.339335,-71.13493
46074,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472
31102,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927
17304,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
43520,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
80859,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
75050,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529
53969,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
74279,92,UMass Boston Integrated Sciences Complex,42.3139036,-71.0405121
48178,93,JFK / UMASS at MBTA Station,42.320494,-71.051122
29428,94,Main St at Austin St,42.375603,-71.064608
46654,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
129420,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
71524,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565
79185,98,Charlestown - Warren St at Chelsea St,42.371848,-71.060292
7059,99,Wilson Square,42.385582,-71.113341
98230,100,Davis Square,42.396969,-71.123024
18210,102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772
95192,103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374
154343,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
7090,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065
113720,106,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354
2088,107,Ames St at Main St,42.3625,-71.08822
682,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
157918,109,TD Garden - West End Park,42.36588481543564,-71.06454849243164
18346,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
10196,111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413
10797,112,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942
47302,113,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044
96251,114,Teele Square at 239 Holland St,42.402763,-71.126908
8621,115,Porter Square Station,42.387995,-71.119084
2516,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
60217,117,Binney St / Sixth St,42.366095,-71.086388
5368,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516
85581,119,South Boston Library - 646 East Broadway,42.335741,-71.03877
31311,120,Charles St at Beacon St,42.356052,-71.069849
6639,121,W Broadway at Dorchester St,42.335693,-71.045859
129981,122,BIDMC - Brookline at Burlington St,42.345733,-71.100694
142273,124,Curtis Hall at South Street,42.309054,-71.11543
118465,125,Hyde Square at Barbara St,42.320998,-71.110833
257,126,Egleston Square at Columbus Ave,42.315692,-71.098634
79396,128,E. Cottage St at Columbia Rd,42.320561,-71.06198
159929,129,Hayes Square at Vine St.,42.377022,-71.056605
75225,130,Upham's Corner - Columbia Rd,42.31756858003556,-71.06403708501603
24874,131,Jackson Square T at Centre St,42.322701,-71.099533
